dataset_id,scenario,seed,policy_id,total_requests,mean_latency_ms,median_latency_ms,p95_latency_ms,max_latency_ms,migration_count,migration_rate_per_second,migration_rate_per_request,migration_bytes_total,mean_holding_time_s,total_network_traffic_bytes,max_requests_per_peer,request_imbalance
small-concentrated-seed-003,concentrated,3,lowest_rtt_t10s,329,30.727050,2.000000,146.781137,199.743914,28,0.466667,0.085106,114688,5.806452,198912,117,3.556231
small-concentrated-seed-003,concentrated,3,lowest_rtt_w1,329,52.051909,2.000000,192.730649,199.743914,143,2.383333,0.434650,585728,1.232877,669952,95,2.887538
small-concentrated-seed-003,concentrated,3,lowest_rtt_w10,329,31.350712,2.000000,147.519529,199.743914,39,0.650000,0.118541,159744,4.285714,243968,115,3.495441
small-concentrated-seed-003,concentrated,3,lowest_rtt_w50,329,31.525824,19.166422,146.781137,199.743914,28,0.466667,0.085106,114688,5.806452,198912,122,3.708207
small-concentrated-seed-003,concentrated,3,nearest_h0,329,105.042896,146.781137,186.923839,199.743914,3,0.050000,0.009119,12288,30.000000,96512,118,3.586626
small-concentrated-seed-003,concentrated,3,nearest_h5,329,105.524232,146.781137,186.923839,199.743914,3,0.050000,0.009119,12288,30.000000,96512,109,3.313070
small-concentrated-seed-003,concentrated,3,oracle_a0,329,3.208089,2.000000,2.000000,199.743914,140,2.333333,0.425532,573440,1.258741,657664,96,2.917933
small-concentrated-seed-003,concentrated,3,oracle_a1,329,14.645201,2.000000,61.018719,199.743914,82,1.366667,0.249240,335872,2.117647,420096,101,3.069909
small-concentrated-seed-003,concentrated,3,oracle_a10,329,27.481993,19.166422,118.907787,199.743914,5,0.083333,0.015198,20480,22.500000,104704,145,4.407295
small-concentrated-seed-003,concentrated,3,static,329,119.921070,147.519529,199.743914,199.743914,0,0.000000,0.000000,0,60.000000,84224,119,3.617021
small-shifting-seed-001,shifting,1,engagement_aware_r1500_g05_d2,358,48.509528,2.000000,188.415484,201.343616,9,0.150000,0.025140,36864,15.000000,128512,88,2.458101
small-shifting-seed-001,shifting,1,engagement_aware_r250_g05_d2,358,75.192775,64.542106,182.673446,188.415484,4,0.066667,0.011173,16384,25.714286,108032,119,3.324022
small-shifting-seed-001,shifting,1,engagement_aware_r500_g03_d0,358,59.550737,58.527567,182.673446,188.415484,5,0.083333,0.013966,20480,22.500000,112128,119,3.324022
small-shifting-seed-001,shifting,1,engagement_aware_r500_g05_d2,358,62.890104,59.856012,182.673446,188.415484,5,0.083333,0.013966,20480,22.500000,112128,119,3.324022
small-shifting-seed-001,shifting,1,interaction_aware_w10,358,29.438107,2.000000,182.673446,201.343616,11,0.183333,0.030726,45056,12.857143,136704,92,2.569832
small-shifting-seed-001,shifting,1,interaction_aware_w50,358,68.849346,16.774675,201.343616,201.343616,11,0.183333,0.030726,45056,12.857143,136704,111,3.100559
small-shifting-seed-001,shifting,1,lowest_rtt_all,358,64.101203,30.315786,180.902468,192.868599,10,0.166667,0.027933,40960,13.846154,132608,161,4.497207
small-shifting-seed-001,shifting,1,lowest_rtt_t10s,358,36.587326,2.000000,181.168115,201.343616,19,0.316667,0.053073,77824,8.181818,169472,85,2.374302
small-shifting-seed-001,shifting,1,lowest_rtt_w1,358,29.723833,2.000000,180.902468,201.343616,93,1.550000,0.259777,380928,1.875000,472576,79,2.206704
small-shifting-seed-001,shifting,1,lowest_rtt_w10,358,25.777263,2.000000,180.902468,201.343616,18,0.300000,0.050279,73728,8.571429,165376,85,2.374302
small-shifting-seed-001,shifting,1,lowest_rtt_w50,358,59.509904,30.315786,188.415484,201.343616,21,0.350000,0.058659,86016,7.500000,177664,105,2.932961
small-shifting-seed-001,shifting,1,nearest_h0,358,85.495327,64.542106,182.673446,188.415484,3,0.050000,0.008380,12288,30.000000,103936,121,3.379888
small-shifting-seed-001,shifting,1,nearest_h5,358,91.840967,76.356062,182.673446,188.415484,3,0.050000,0.008380,12288,30.000000,103936,109,3.044693
small-shifting-seed-001,shifting,1,oracle_a0,358,3.215405,2.000000,2.000000,180.902468,91,1.516667,0.254190,372736,1.914894,464384,78,2.178771
small-shifting-seed-001,shifting,1,oracle_a1,358,11.900826,2.000000,70.736069,201.343616,44,0.733333,0.122905,180224,3.829787,271872,80,2.234637
small-shifting-seed-001,shifting,1,oracle_a10,358,16.337947,2.000000,110.251206,201.343616,22,0.366667,0.061453,90112,7.200000,181760,80,2.234637
small-shifting-seed-001,shifting,1,static,358,125.545391,149.961300,201.343616,201.343616,0,0.000000,0.000000,0,60.000000,91648,122,3.407821
small-shifting-seed-002,shifting,2,engagement_aware_r1500_g05_d2,373,38.206223,2.000000,181.057720,188.656859,9,0.150000,0.024129,36864,15.000000,132352,84,2.252011
small-shifting-seed-002,shifting,2,engagement_aware_r250_g05_d2,373,118.354977,125.871876,188.027506,188.656859,1,0.016667,0.002681,4096,45.000000,99584,372,9.973190
small-shifting-seed-002,shifting,2,engagement_aware_r500_g03_d0,373,103.023486,117.991015,184.757355,188.656859,8,0.133333,0.021448,32768,16.363636,128256,257,6.890080
small-shifting-seed-002,shifting,2,engagement_aware_r500_g05_d2,373,108.027862,134.384601,188.656859,188.656859,8,0.133333,0.021448,32768,16.363636,128256,257,6.890080
small-shifting-seed-002,shifting,2,interaction_aware_w10,373,26.274847,2.000000,169.879984,188.656859,11,0.183333,0.029491,45056,12.857143,140544,92,2.466488
small-shifting-seed-002,shifting,2,interaction_aware_w50,373,46.356010,2.000000,169.879984,188.656859,11,0.183333,0.029491,45056,12.857143,140544,91,2.439678
small-shifting-seed-002,shifting,2,lowest_rtt_all,373,50.837068,53.109442,155.470547,188.656859,13,0.216667,0.034853,53248,11.250000,148736,117,3.136729
small-shifting-seed-002,shifting,2,lowest_rtt_t10s,373,27.430010,2.000000,159.951797,188.656859,18,0.300000,0.048257,73728,8.571429,169216,89,2.386059
small-shifting-seed-002,shifting,2,lowest_rtt_w1,373,31.596841,2.000000,181.057720,188.656859,97,1.616667,0.260054,397312,1.800000,492800,86,2.305630
small-shifting-seed-002,shifting,2,lowest_rtt_w10,373,24.924415,2.000000,155.470547,188.656859,23,0.383333,0.061662,94208,6.923077,189696,93,2.493298
small-shifting-seed-002,shifting,2,lowest_rtt_w50,373,36.301593,12.705802,155.470547,188.656859,17,0.283333,0.045576,69632,9.000000,165120,92,2.466488
small-shifting-seed-002,shifting,2,nearest_h0,373,111.267897,91.776685,188.656859,188.656859,3,0.050000,0.008043,12288,30.000000,107776,265,7.104558
small-shifting-seed-002,shifting,2,nearest_h5,373,117.316593,134.384601,188.656859,188.656859,3,0.050000,0.008043,12288,30.000000,107776,236,6.327078
small-shifting-seed-002,shifting,2,oracle_a0,373,3.312564,2.000000,2.000000,188.656859,95,1.583333,0.254692,389120,1.836735,484608,86,2.305630
small-shifting-seed-002,shifting,2,oracle_a1,373,11.056038,2.000000,63.571449,188.656859,59,0.983333,0.158177,241664,2.903226,337152,87,2.332440
small-shifting-seed-002,shifting,2,oracle_a10,373,20.435972,2.000000,124.128738,188.656859,17,0.283333,0.045576,69632,9.000000,165120,92,2.466488
small-shifting-seed-002,shifting,2,static,373,137.524947,140.903236,188.656859,195.394846,0,0.000000,0.000000,0,60.000000,95488,267,7.158177
small-shifting-seed-003,shifting,3,engagement_aware_r1500_g05_d2,329,34.948114,2.000000,158.901090,199.743914,9,0.150000,0.027356,36864,15.000000,121088,97,2.948328
small-shifting-seed-003,shifting,3,engagement_aware_r250_g05_d2,329,108.460020,114.931686,191.730185,199.743914,4,0.066667,0.012158,16384,25.714286,100608,107,3.252280
small-shifting-seed-003,shifting,3,engagement_aware_r500_g03_d0,329,58.830445,27.055421,186.923839,199.743914,6,0.100000,0.018237,24576,20.000000,108800,101,3.069909
small-shifting-seed-003,shifting,3,engagement_aware_r500_g05_d2,329,63.156976,27.055421,186.923839,199.743914,6,0.100000,0.018237,24576,20.000000,108800,101,3.069909
small-shifting-seed-003,shifting,3,interaction_aware_w10,329,27.635965,2.000000,147.519529,199.743914,9,0.150000,0.027356,36864,15.000000,121088,99,3.009119
small-shifting-seed-003,shifting,3,interaction_aware_w50,329,61.612914,52.404019,158.901090,199.743914,9,0.150000,0.027356,36864,15.000000,121088,106,3.221884
small-shifting-seed-003,shifting,3,lowest_rtt_all,329,49.026447,53.183369,158.901090,199.743914,11,0.183333,0.033435,45056,12.857143,129280,153,4.650456
small-shifting-seed-003,shifting,3,lowest_rtt_t10s,329,31.180278,2.000000,147.981037,199.743914,21,0.350000,0.063830,86016,7.500000,170240,76,2.310030
small-shifting-seed-003,shifting,3,lowest_rtt_w1,329,31.741166,2.000000,158.901090,199.743914,87,1.450000,0.264438,356352,2.000000,440576,88,2.674772
