dominant_peer_ratio,seed,policy_id,total_requests,mean_latency_ms,migration_count,self_service_fraction,mean_remote_rtt_ms,total_served_ms,total_migration_rtt_ms,combined_ms_alpha1
0.7,4,oracle_a1,2947,14.694471,1017,0.635562,34.832966,43304.605198,26370.578134,69675.183332
0.7,5,static,2961,101.075263,0,0.059439,105.336393,299283.853424,0.000000,299283.853424
0.7,5,nearest,2961,101.057000,6,0.051334,104.417151,299229.778266,393.231552,299623.009818
0.7,5,proposed_d0.0,2961,57.535094,169,0.493077,109.553239,170361.412450,19346.919469,189708.331919
0.7,5,proposed_d0.25,2961,62.943238,152,0.446133,110.032273,186374.928326,17676.227947,204051.156273
0.7,5,proposed_d1.0,2961,68.192740,150,0.398852,110.110508,201918.703903,17242.389910,219161.093813
0.7,5,lowest_rtt_w10,2961,50.878720,582,0.313408,71.190305,150651.890161,26939.839676,177591.729837
0.7,5,lowest_rtt_w20,2961,59.302058,388,0.174603,69.423647,175593.392686,18203.574608,193796.967294
0.7,5,lowest_rtt_w50,2961,68.775367,221,0.091523,73.502551,203643.862818,14111.580341,217755.443159
0.7,5,lowest_rtt_w100,2961,79.629062,153,0.064505,82.981824,235781.652789,11292.821587,247074.474376
0.7,5,oracle_a1,2961,17.041772,913,0.639311,41.702890,50460.687022,26969.279369,77429.966391
0.7,6,static,2952,101.879547,0,0.039634,104.001560,300748.421278,0.000000,300748.421278
0.7,6,nearest,2952,107.041237,4,0.055894,111.260040,315985.731505,295.281344,316281.012849
0.7,6,proposed_d0.0,2952,51.973545,158,0.510501,102.091283,153425.904643,15405.367028,168831.271671
0.7,6,proposed_d0.25,2952,57.304355,152,0.456301,101.718665,169162.457106,14816.761727,183979.218833
0.7,6,proposed_d1.0,2952,62.608404,150,0.401084,101.196837,184820.008297,14712.095275,199532.103572
0.7,6,lowest_rtt_w10,2952,49.105254,551,0.307249,67.997413,144958.710392,29737.516695,174696.227087
0.7,6,lowest_rtt_w20,2952,58.173068,380,0.191057,69.440074,171726.897091,22441.310962,194168.208053
0.7,6,lowest_rtt_w50,2952,68.579267,194,0.090108,73.172746,202445.995033,15378.474761,217824.469794
0.7,6,lowest_rtt_w100,2952,72.045301,139,0.070122,75.327406,212677.728175,10013.068422,222690.796597
0.7,6,oracle_a1,2952,15.142107,918,0.624322,34.982416,44699.498975,24930.855763,69630.354738
0.7,7,static,2971,112.415223,0,0.057220,117.116612,333985.628899,0.000000,333985.628899
0.7,7,nearest,2971,106.327140,5,0.067317,111.857067,315897.931673,470.237830,316368.169503
0.7,7,proposed_d0.0,2971,56.483706,165,0.501515,109.298509,167813.091400,17435.009723,185248.101123
0.7,7,proposed_d0.25,2971,61.537530,155,0.456749,109.594796,182828.000739,16749.957552,199577.958291
0.7,7,proposed_d1.0,2971,67.265089,151,0.398856,108.568074,199844.580884,16237.382655,216081.963539
0.7,7,lowest_rtt_w10,2971,53.275309,475,0.374621,81.990820,158280.943545,24408.829909,182689.773454
0.7,7,lowest_rtt_w20,2971,64.143813,368,0.239313,81.694367,190571.269681,19048.999676,209620.269357
0.7,7,lowest_rtt_w50,2971,83.749401,250,0.099630,90.795316,248819.469886,17966.928958,266786.398844
0.7,7,lowest_rtt_w100,2971,87.834381,181,0.116459,97.148170,260955.946814,14060.271054,275016.217868
0.7,7,oracle_a1,2971,18.567817,861,0.660047,48.735628,55164.983850,31197.003567,86361.987417
0.7,8,static,2983,93.767940,0,0.052296,96.831894,279709.764387,0.000000,279709.764387
0.7,8,nearest,2983,97.500054,5,0.050620,100.592041,290842.660826,463.236040,291305.896866
0.7,8,proposed_d0.0,2983,52.413277,158,0.496145,100.055093,156348.805307,14836.814414,171185.619721
0.7,8,proposed_d0.25,2983,57.009788,151,0.445189,99.150572,170060.197438,14034.789485,184094.986923
0.7,8,proposed_d1.0,2983,61.727057,150,0.395240,98.761536,184131.810453,14039.318260,198171.128713
0.7,8,lowest_rtt_w10,2983,49.829390,555,0.329534,71.337536,148641.071122,29835.373204,178476.444326
0.7,8,lowest_rtt_w20,2983,55.689053,379,0.224271,69.211083,166120.446231,21816.749953,187937.196184
0.7,8,lowest_rtt_w50,2983,65.656796,181,0.087831,69.786190,195854.221633,13743.123028,209597.344661
0.7,8,lowest_rtt_w100,2983,68.086588,105,0.074757,71.426193,203102.292551,7200.381443,210302.673994
0.7,8,oracle_a1,2983,15.991700,963,0.628227,37.635024,47703.241469,26741.136465,74444.377934
0.7,9,static,2932,94.734583,0,0.062415,98.907893,277761.798385,0.000000,277761.798385
0.7,9,nearest,2932,107.695710,5,0.043315,110.481220,315763.821984,440.799752,316204.621736
0.7,9,proposed_d0.0,2932,52.276322,159,0.499318,100.415652,153274.176788,15268.492060,168542.668848
0.7,9,proposed_d0.25,2932,57.750995,152,0.445089,100.468296,169325.918075,14832.617885,184158.535960
0.7,9,proposed_d1.0,2932,63.082504,151,0.389154,99.996595,184957.900986,14671.637036,199629.538022
0.7,9,lowest_rtt_w10,2932,48.653126,496,0.353001,72.106992,142650.964030,25314.171964,167965.135994
0.7,9,lowest_rtt_w20,2932,57.553580,363,0.225102,71.691504,168747.096280,18539.259679,187286.355959
0.7,9,lowest_rtt_w50,2932,75.944456,232,0.072306,79.707774,222669.145251,15421.138955,238090.284206
0.7,9,lowest_rtt_w100,2932,78.336052,168,0.080491,83.018288,229681.303404,11506.153726,241187.457130
0.7,9,oracle_a1,2932,16.572935,833,0.645293,41.084468,48591.846788,25549.240190,74141.086978
0.7,10,static,3006,104.522628,0,0.045243,107.380844,314195.020942,0.000000,314195.020942
0.7,10,nearest,3006,85.493917,5,0.053227,88.187882,256994.713021,428.686323,257423.399344
0.7,10,proposed_d0.0,3006,52.506491,164,0.507984,102.652137,157834.510987,17069.435038,174903.946025
0.7,10,proposed_d0.25,3006,58.193863,154,0.453094,102.748633,174930.752833,15991.803577,190922.556410
0.7,10,proposed_d1.0,3006,63.857604,152,0.403859,103.763369,191955.956489,16030.521037,207986.477526
0.7,10,lowest_rtt_w10,3006,47.216354,496,0.359281,70.571320,141932.361590,25031.381767,166963.743357
0.7,10,lowest_rtt_w20,3006,57.171522,386,0.217898,70.542576,171857.596122,20672.011334,192529.607456
0.7,10,lowest_rtt_w50,3006,65.130975,210,0.076181,68.336951,195783.712298,13210.721474,208994.433772
0.7,10,lowest_rtt_w100,3006,68.166874,132,0.070193,71.161941,204909.624241,7961.827870,212871.452111
0.7,10,oracle_a1,3006,16.796487,783,0.661011,43.648912,50490.241060,26128.757792,76618.998852
0.7,11,static,3002,104.925551,0,0.045303,107.809666,314986.503832,0.000000,314986.503832
0.7,11,nearest,3002,100.841951,39,0.055296,104.627481,302727.537390,5006.591899,307734.129289
0.7,11,proposed_d0.0,3002,56.376542,176,0.497335,108.176527,169242.379200,19400.006926,188642.386126
0.7,11,proposed_d0.25,3002,61.768036,153,0.452365,109.138470,185427.644627,17447.086459,202874.731086
0.7,11,proposed_d1.0,3002,67.467062,151,0.404730,109.978802,202536.119211,17259.446963,219795.566174
0.7,11,lowest_rtt_w10,3002,50.472124,562,0.328448,72.179224,151517.316291,27402.212396,178919.528687
0.7,11,lowest_rtt_w20,3002,58.975460,423,0.179880,69.472109,177044.331557,24421.723697,201466.055254
0.7,11,lowest_rtt_w50,3002,71.621287,217,0.069287,74.804260,215007.102476,16925.976772,231933.079248
0.7,11,lowest_rtt_w100,3002,80.147541,161,0.089607,85.839340,240602.916790,13126.236674,253729.153464
0.7,11,oracle_a1,3002,16.372835,889,0.637575,39.657400,49151.251228,25980.094181,75131.345409
0.7,12,static,3026,99.540010,0,0.048249,102.484747,301208.071246,0.000000,301208.071246
0.7,12,nearest,3026,111.148845,5,0.050231,114.921505,336336.405195,705.318650,337041.723845
0.7,12,proposed_d0.0,3026,52.326349,165,0.505948,101.864569,158339.530859,16923.670717,175263.201576
0.7,12,proposed_d0.25,3026,57.567630,153,0.453734,101.722714,174199.646956,15931.650007,190131.296963
0.7,12,proposed_d1.0,3026,63.236222,150,0.401190,102.263139,191352.807262,15749.119482,207101.926744
0.7,12,lowest_rtt_w10,3026,48.004594,582,0.323860,68.040029,145261.900164,25282.686836,170544.587000
0.7,12,lowest_rtt_w20,3026,55.742676,406,0.206874,67.760557,168677.337871,19545.421362,188222.759233
0.7,12,lowest_rtt_w50,3026,65.898744,220,0.107072,71.560917,199409.598701,11523.974279,210933.572980
0.7,12,lowest_rtt_w100,3026,70.683646,166,0.095836,75.963710,213888.711888,9487.374641,223376.086529
0.7,12,oracle_a1,3026,15.424503,1006,0.611699,34.572378,46674.544704,24945.417941,71619.962645
0.7,13,static,3014,95.426355,0,0.058394,99.220238,287615.034274,0.000000,287615.034274
0.7,13,nearest,3014,101.889927,23,0.047777,104.901825,307096.238987,3206.880352,310303.119339
0.7,13,proposed_d0.0,3014,49.848221,168,0.507631,97.179608,150242.538915,15867.280636,166109.819551
0.7,13,proposed_d0.25,3014,54.065465,152,0.459190,96.273197,162953.311344,14172.526597,177125.837941
0.7,13,proposed_d1.0,3014,58.253066,150,0.414399,96.060477,175574.741972,14049.553750,189624.295722
0.7,13,lowest_rtt_w10,3014,48.038199,533,0.344393,70.222232,144787.130555,25099.171447,169886.302002
0.7,13,lowest_rtt_w20,3014,56.433129,416,0.224950,70.231786,170089.451324,18151.422826,188240.874150
0.7,13,lowest_rtt_w50,3014,69.415680,231,0.081951,73.433632,209218.858560,14877.532420,224096.390980
0.7,13,lowest_rtt_w100,3014,77.617044,162,0.066357,80.991390,233937.771652,10976.718355,244914.490007
0.7,13,oracle_a1,3014,15.382228,940,0.651294,38.376816,46362.033991,24949.840687,71311.874678
0.7,14,static,3050,103.144031,0,0.048525,106.302307,314589.294700,0.000000,314589.294700
0.7,14,nearest,3050,111.543786,5,0.047541,115.011548,340208.548092,534.284486,340742.832578
0.7,14,proposed_d0.0,3050,55.094780,160,0.503934,107.031778,168039.080161,16116.700963,184155.781124
0.7,14,proposed_d0.25,3050,61.042777,152,0.446557,106.682743,186180.470352,15349.904291,201530.374643
0.7,14,proposed_d1.0,3050,65.469287,150,0.401967,106.130112,199681.324677,15248.578246,214929.902923
0.7,14,lowest_rtt_w10,3050,53.474796,536,0.355410,79.856627,163098.128639,29216.325206,192314.453845
0.7,14,lowest_rtt_w20,3050,64.271336,405,0.240000,81.935969,196027.575191,21265.667335,217293.242526
0.7,14,lowest_rtt_w50,3050,81.777116,249,0.087213,87.399499,249420.203979,17859.585388,267279.789367
0.7,14,lowest_rtt_w100,3050,83.464322,162,0.089508,89.472878,254566.183429,13172.016655,267738.200084
0.7,14,oracle_a1,3050,18.274749,970,0.630492,44.044352,55737.984769,29907.851586,85645.836355
0.7,15,static,3022,102.175031,0,0.050960,105.554025,308772.942411,0.000000,308772.942411
