sweep,knob_name,knob_value,policy_id,n_seeds,total_served_ms_mean,total_migration_rtt_ms_mean,mean_migration_rtt_ms_mean,migration_count_mean,migration_bytes_total_mean,mean_migration_bytes_per_migration_mean,combined_ms_alpha0.5_mean,combined_ms_alpha0.5_std,combined_ms_alpha1_mean,combined_ms_alpha1_std,combined_ms_alpha2_mean,combined_ms_alpha2_std
ambiguity,dominant_peer_ratio,0.4,engagement_g05_d2.0,30,280836.781123,10733.913719,107.204656,100.200000,410419.200000,4096.000000,286203.737982,13926.745077,291570.694841,14208.108557,302304.608560,14800.837365
ambiguity,dominant_peer_ratio,0.4,engagement_g05_d5.0,30,302451.605161,7116.435788,108.319622,65.733333,269243.733333,4096.000000,306009.823055,16316.703580,309568.040949,16506.263952,316684.476738,16910.149695
ambiguity,dominant_peer_ratio,0.4,naive_target_aware,30,237376.031775,39808.578709,104.112658,382.466667,1566583.466667,4096.000000,257280.321130,9743.478228,277184.610484,10644.877752,316993.189193,12609.018709
ambiguity,dominant_peer_ratio,0.4,nearest,30,300886.066223,1315.130190,99.477918,12.566667,51473.066667,4096.000000,301543.631318,21318.300877,302201.196413,21404.808906,303516.326603,21660.055045
ambiguity,dominant_peer_ratio,0.4,oracle_a0.5,30,44723.399531,83461.345716,39.383696,2120.266667,8684612.266667,4096.000000,86454.072389,5535.745940,128184.745248,9650.343136,211646.090964,18123.129633
ambiguity,dominant_peer_ratio,0.4,oracle_a1,30,74455.540989,38522.243868,27.756047,1394.333333,5711189.333333,4096.000000,93716.662923,6521.979635,112977.784858,8001.740859,151500.028726,11145.113537
ambiguity,dominant_peer_ratio,0.4,oracle_a2,30,99831.819996,20197.439818,22.829363,894.900000,3665510.400000,4096.000000,109930.539905,8597.676349,120029.259814,8972.926289,140226.699632,9847.107525
ambiguity,dominant_peer_ratio,0.4,static,30,305542.436974,0.000000,,0.000000,0.000000,,305542.436974,19037.455051,305542.436974,19037.455051,305542.436974,19037.455051
ambiguity,dominant_peer_ratio,0.5,engagement_g00_d0.0,30,211470.148081,27434.946268,106.404704,257.933333,1056494.933333,4096.000000,225187.621215,9514.259005,238905.094349,10450.265880,266340.040617,12444.567854
ambiguity,dominant_peer_ratio,0.5,engagement_g00_d0.25,30,222244.987043,20197.777176,107.007671,188.666667,772778.666667,4096.000000,232343.875631,9820.779666,242442.764219,10499.967926,262640.541395,11929.716499
ambiguity,dominant_peer_ratio,0.5,engagement_g00_d0.5,30,225678.087983,19235.628379,106.614958,180.366667,738781.866667,4096.000000,235295.902172,10240.637602,244913.716361,10899.542948,264149.344740,12273.575624
ambiguity,dominant_peer_ratio,0.5,engagement_g00_d1.0,30,232860.020094,17940.449050,106.379269,168.600000,690585.600000,4096.000000,241830.244619,10770.683338,250800.469144,11397.684869,268740.918194,12707.305249
ambiguity,dominant_peer_ratio,0.5,engagement_g00_d10.0,30,310201.630758,4618.215530,104.117354,44.500000,182272.000000,4096.000000,312510.738522,17011.497524,314819.846287,17099.260564,319438.061817,17282.278143
ambiguity,dominant_peer_ratio,0.5,engagement_g00_d2.0,30,248502.677431,16674.724271,106.707260,156.266667,640068.266667,4096.000000,256840.039566,12202.520375,265177.401702,12762.563617,281852.125973,13928.037306
ambiguity,dominant_peer_ratio,0.5,engagement_g00_d5.0,30,291315.440998,14655.997845,107.193805,136.733333,560059.733333,4096.000000,298643.439920,16065.538926,305971.438843,16617.255834,320627.436688,17739.023539
ambiguity,dominant_peer_ratio,0.5,engagement_g05_d0.0,30,241631.922033,14906.407983,107.375970,138.833333,568661.333333,4096.000000,249085.126024,11178.499787,256538.330015,11726.846724,271444.737998,12847.563981
ambiguity,dominant_peer_ratio,0.5,engagement_g05_d0.25,30,243255.549873,14490.971284,107.430485,134.866667,552413.866667,4096.000000,250501.035515,11497.297501,257746.521157,12042.198602,272237.492442,13160.763977
ambiguity,dominant_peer_ratio,0.5,engagement_g05_d0.5,30,244455.599780,14394.056160,107.277418,134.166667,549546.666667,4096.000000,251652.627860,11831.789084,258849.655940,12368.612442,273243.712100,13469.129252
ambiguity,dominant_peer_ratio,0.5,engagement_g05_d1.0,30,248316.361751,14304.709079,107.327004,133.266667,545860.266667,4096.000000,255468.716291,12038.583066,262621.070830,12568.401704,276925.779909,13655.295289
ambiguity,dominant_peer_ratio,0.5,engagement_g05_d10.0,30,309363.947277,1253.649487,106.585110,11.800000,48332.800000,4096.000000,309990.772020,13677.536377,310617.596764,13717.919820,311871.246251,13804.224631
ambiguity,dominant_peer_ratio,0.5,engagement_g05_d2.0,30,259316.189951,13968.503570,107.196583,130.300000,533708.800000,4096.000000,266300.441736,13411.209429,273284.693521,13918.067724,287253.197091,14956.513713
ambiguity,dominant_peer_ratio,0.5,engagement_g05_d5.0,30,296147.128028,11071.004874,107.108824,103.200000,422707.200000,4096.000000,301682.630465,17082.078209,307218.132902,17589.602171,318289.137776,18628.833918
ambiguity,dominant_peer_ratio,0.5,naive_target_aware,30,211470.148081,27434.946268,106.404704,257.933333,1056494.933333,4096.000000,225187.621215,9514.259005,238905.094349,10450.265880,266340.040617,12444.567854
ambiguity,dominant_peer_ratio,0.5,nearest,30,301210.008841,1315.130190,99.477918,12.566667,51473.066667,4096.000000,301867.573936,22401.137087,302525.139031,22503.097774,303840.269221,22784.790957
ambiguity,dominant_peer_ratio,0.5,oracle_a0.5,30,41225.401972,75098.716998,39.057470,1923.666667,7879338.666667,4096.000000,78774.760471,5316.977918,116324.118970,8862.383334,191422.835968,16191.429994
ambiguity,dominant_peer_ratio,0.5,oracle_a1,30,67429.370370,35309.180153,27.983020,1268.100000,5194137.600000,4096.000000,85083.960447,6164.403308,102738.550523,7313.802050,138047.730677,9733.047741
ambiguity,dominant_peer_ratio,0.5,oracle_a2,30,90604.768041,18494.470567,23.441478,797.466667,3266423.466667,4096.000000,99852.003324,7584.483870,109099.238608,7928.817715,127593.709175,8690.735921
ambiguity,dominant_peer_ratio,0.5,static,30,305963.964910,0.000000,,0.000000,0.000000,,305963.964910,18971.238600,305963.964910,18971.238600,305963.964910,18971.238600
ambiguity,dominant_peer_ratio,0.6,engagement_g00_d0.0,30,185988.386173,20519.153047,106.962938,191.966667,786295.466667,4096.000000,196247.962696,7877.430095,206507.539219,8536.379592,227026.692266,9953.021068
ambiguity,dominant_peer_ratio,0.6,engagement_g00_d0.25,30,199815.189907,17235.892266,106.417978,162.166667,664234.666667,4096.000000,208433.136040,8827.381441,217051.082173,9420.680303,234286.974439,10637.674958
ambiguity,dominant_peer_ratio,0.6,engagement_g00_d0.5,30,204467.352415,16935.076946,106.740481,158.800000,650444.800000,4096.000000,212934.890889,9298.098152,221402.429362,9888.732126,238337.506308,11102.417584
ambiguity,dominant_peer_ratio,0.6,engagement_g00_d1.0,30,213763.051057,16577.846770,106.805946,155.300000,636108.800000,4096.000000,222051.974442,9894.651305,230340.897827,10516.031053,246918.744597,11791.903855
ambiguity,dominant_peer_ratio,0.6,engagement_g00_d10.0,30,312496.990220,5459.051067,103.835737,52.600000,215449.600000,4096.000000,315226.515753,18469.902379,317956.041287,18687.018211,323415.092354,19127.900333
ambiguity,dominant_peer_ratio,0.6,engagement_g00_d2.0,30,233037.574790,16200.768637,106.960082,151.500000,620544.000000,4096.000000,241137.959108,11899.058868,249238.343427,12527.020016,265439.112064,13808.210838
ambiguity,dominant_peer_ratio,0.6,engagement_g00_d5.0,30,286362.999209,15504.843810,107.467034,144.233333,590779.733333,4096.000000,294115.421114,16619.415340,301867.843018,17285.600200,317372.686828,18633.228405
ambiguity,dominant_peer_ratio,0.6,engagement_g05_d0.0,30,208232.121556,16089.158209,107.576946,149.566667,612625.066667,4096.000000,216276.700660,8951.640587,224321.279765,9504.359452,240410.437974,10650.908280
ambiguity,dominant_peer_ratio,0.6,engagement_g05_d0.25,30,211984.128689,15738.820703,107.377842,146.533333,600200.533333,4096.000000,219853.539040,9536.877951,227722.949392,10166.393740,243461.770095,11461.487713
ambiguity,dominant_peer_ratio,0.6,engagement_g05_d0.5,30,214874.622213,15691.611269,107.357122,146.133333,598562.133333,4096.000000,222720.427848,9912.546548,230566.233482,10535.078426,246257.844751,11813.989037
ambiguity,dominant_peer_ratio,0.6,engagement_g05_d1.0,30,221456.051979,15657.642396,107.435405,145.700000,596787.200000,4096.000000,229284.873177,10258.742683,237113.694375,10893.266590,252771.336771,12192.997595
ambiguity,dominant_peer_ratio,0.6,engagement_g05_d10.0,30,307433.400752,2161.292418,102.880916,21.033333,86152.533333,4096.000000,308514.046962,12392.319613,309594.693171,12416.693766,311755.985589,12475.872120
ambiguity,dominant_peer_ratio,0.6,engagement_g05_d2.0,30,238180.651590,15511.779788,107.299731,144.500000,591872.000000,4096.000000,245936.541484,11609.698655,253692.431378,12241.593824,269204.211166,13536.887709
ambiguity,dominant_peer_ratio,0.6,engagement_g05_d5.0,30,288774.686572,13832.135893,107.325231,128.800000,527564.800000,4096.000000,295690.754518,15551.245377,302606.822465,16134.038959,316438.958358,17317.478329
ambiguity,dominant_peer_ratio,0.6,naive_target_aware,30,185988.386173,20519.153047,106.962938,191.966667,786295.466667,4096.000000,196247.962696,7877.430095,206507.539219,8536.379592,227026.692266,9953.021068
ambiguity,dominant_peer_ratio,0.6,nearest,30,301419.595212,1315.130190,99.477918,12.566667,51473.066667,4096.000000,302077.160307,22549.360443,302734.725402,22628.676422,304049.855592,22865.345685
ambiguity,dominant_peer_ratio,0.6,oracle_a0.5,30,36547.344909,65656.826611,38.860354,1691.166667,6927018.666667,4096.000000,69375.758215,4648.598619,102204.171520,7780.879372,167860.998131,14155.115107
ambiguity,dominant_peer_ratio,0.6,oracle_a1,30,58927.512444,31279.408964,28.360539,1109.266667,4543556.266667,4096.000000,74567.216926,5403.057880,90206.921408,6281.024703,121486.330372,8114.035974
ambiguity,dominant_peer_ratio,0.6,oracle_a2,30,79064.881789,16666.993088,24.039751,700.733333,2870203.733333,4096.000000,87398.378334,6566.743003,95731.874878,6765.128290,112398.867966,7226.820809
ambiguity,dominant_peer_ratio,0.6,static,30,306238.566999,0.000000,,0.000000,0.000000,,306238.566999,19134.891173,306238.566999,19134.891173,306238.566999,19134.891173
ambiguity,dominant_peer_ratio,0.7,engagement_g00_d0.0,30,162636.689987,17457.236653,107.187556,162.866667,667101.866667,4096.000000,171365.308314,8177.565046,180093.926641,8885.971687,197551.163294,10347.566077
ambiguity,dominant_peer_ratio,0.7,engagement_g00_d0.25,30,179128.688789,16401.615296,107.446755,152.666667,625322.666667,4096.000000,187329.496437,9577.482825,195530.304085,10205.940502,211931.919380,11491.514198
ambiguity,dominant_peer_ratio,0.7,engagement_g00_d0.5,30,184623.295225,16315.985816,107.480940,151.800000,621772.800000,4096.000000,192781.288133,9886.981298,200939.281041,10516.712256,217255.266857,11805.522848
ambiguity,dominant_peer_ratio,0.7,engagement_g00_d1.0,30,195419.765238,16216.429028,107.434392,150.933333,618222.933333,4096.000000,203527.979752,10507.231569,211636.194265,11144.704590,227852.623293,12444.398681
