sweep,knob_name,knob_value,seed,policy_id,total_requests,migration_count,total_served_ms,total_migration_rtt_ms,mean_migration_rtt_ms,migration_bytes_total,mean_migration_bytes_per_migration,combined_ms_alpha0.5,combined_ms_alpha1,combined_ms_alpha2
ambiguity,dominant_peer_ratio,0.85,4,engagement_g05_d0.25,2947,150,155610.983567,16710.922515,111.406150,614400,4096.000000,163966.444825,172321.906082,189032.828597
ambiguity,dominant_peer_ratio,0.85,4,engagement_g05_d0.5,2947,150,161523.259698,16710.922515,111.406150,614400,4096.000000,169878.720956,178234.182213,194945.104728
ambiguity,dominant_peer_ratio,0.85,4,engagement_g05_d1.0,2947,150,172552.228421,16710.922515,111.406150,614400,4096.000000,180907.689678,189263.150936,205974.073451
ambiguity,dominant_peer_ratio,0.85,4,engagement_g05_d2.0,2947,150,197920.208964,16710.922515,111.406150,614400,4096.000000,206275.670221,214631.131479,231342.053994
ambiguity,dominant_peer_ratio,0.85,4,engagement_g05_d5.0,2947,147,276495.644006,16209.252280,110.267022,602112,4096.000000,284600.270146,292704.896286,308914.148566
ambiguity,dominant_peer_ratio,0.85,4,engagement_g05_d10.0,2947,49,332713.062166,5382.012148,109.836983,200704,4096.000000,335404.068240,338095.074314,343477.086462
ambiguity,dominant_peer_ratio,0.85,4,oracle_a1,2947,666,27305.727227,18250.554998,27.403236,2727936,4096.000000,36431.004726,45556.282225,63806.837223
ambiguity,dominant_peer_ratio,0.85,4,oracle_a0.5,2947,900,19856.394071,29810.073998,33.122304,3686400,4096.000000,34761.431070,49666.468069,79476.542067
ambiguity,dominant_peer_ratio,0.85,4,oracle_a2,2947,499,35985.243366,12106.700506,24.261925,2043904,4096.000000,42038.593619,48091.943872,60198.644378
ambiguity,dominant_peer_ratio,0.85,5,static,2961,0,296868.046155,0.000000,,0,,296868.046155,296868.046155,296868.046155
ambiguity,dominant_peer_ratio,0.85,5,nearest,2961,6,296130.201835,393.231552,65.538592,24576,4096.000000,296326.817611,296523.433387,296916.664939
ambiguity,dominant_peer_ratio,0.85,5,naive_target_aware,2961,154,139731.303234,17523.051880,113.786051,630784,4096.000000,148492.829174,157254.355114,174777.406994
ambiguity,dominant_peer_ratio,0.85,5,engagement_g00_d0.0,2961,154,139731.303234,17523.051880,113.786051,630784,4096.000000,148492.829174,157254.355114,174777.406994
ambiguity,dominant_peer_ratio,0.85,5,engagement_g00_d0.25,2961,151,160933.758426,17136.007111,113.483491,618496,4096.000000,169501.761981,178069.765537,195205.772648
ambiguity,dominant_peer_ratio,0.85,5,engagement_g00_d0.5,2961,151,168946.571975,17136.007111,113.483491,618496,4096.000000,177514.575531,186082.579086,203218.586197
ambiguity,dominant_peer_ratio,0.85,5,engagement_g00_d1.0,2961,150,182470.340214,17175.386291,114.502575,614400,4096.000000,191058.033359,199645.726505,216821.112796
ambiguity,dominant_peer_ratio,0.85,5,engagement_g00_d2.0,2961,149,209246.927988,17028.907593,114.287970,610304,4096.000000,217761.381784,226275.835581,243304.743174
ambiguity,dominant_peer_ratio,0.85,5,engagement_g00_d5.0,2961,148,290168.460856,16876.606128,114.031122,606208,4096.000000,298606.763920,307045.066984,323921.673112
ambiguity,dominant_peer_ratio,0.85,5,engagement_g00_d10.0,2961,48,320139.418986,5388.586431,112.262217,196608,4096.000000,322833.712201,325528.005417,330916.591848
ambiguity,dominant_peer_ratio,0.85,5,engagement_g05_d0.0,2961,151,143976.887034,17136.007111,113.483491,618496,4096.000000,152544.890590,161112.894145,178248.901256
ambiguity,dominant_peer_ratio,0.85,5,engagement_g05_d0.25,2961,150,162067.983055,17175.386291,114.502575,614400,4096.000000,170655.676200,179243.369346,196418.755637
ambiguity,dominant_peer_ratio,0.85,5,engagement_g05_d0.5,2961,150,170094.944647,17175.386291,114.502575,614400,4096.000000,178682.637792,187270.330938,204445.717229
ambiguity,dominant_peer_ratio,0.85,5,engagement_g05_d1.0,2961,150,182801.328922,17175.386291,114.502575,614400,4096.000000,191389.022067,199976.715213,217152.101504
ambiguity,dominant_peer_ratio,0.85,5,engagement_g05_d2.0,2961,149,209246.927988,17028.907593,114.287970,610304,4096.000000,217761.381784,226275.835581,243304.743174
ambiguity,dominant_peer_ratio,0.85,5,engagement_g05_d5.0,2961,147,290134.259490,16822.922143,114.441647,602112,4096.000000,298545.720561,306957.181633,323780.103776
ambiguity,dominant_peer_ratio,0.85,5,engagement_g05_d10.0,2961,36,324330.210369,3893.893088,108.163697,147456,4096.000000,326277.156913,328224.103457,332117.996545
ambiguity,dominant_peer_ratio,0.85,5,oracle_a1,2961,637,33689.269037,19091.858588,29.971521,2609152,4096.000000,43235.198331,52781.127625,71872.986213
ambiguity,dominant_peer_ratio,0.85,5,oracle_a0.5,2961,936,22582.439750,36170.854794,38.644076,3833856,4096.000000,40667.867147,58753.294544,94924.149338
ambiguity,dominant_peer_ratio,0.85,5,oracle_a2,2961,440,43434.123083,12019.292017,27.316573,1802240,4096.000000,49443.769091,55453.415100,67472.707117
ambiguity,dominant_peer_ratio,0.85,6,static,2952,0,301115.381198,0.000000,,0,,301115.381198,301115.381198,301115.381198
ambiguity,dominant_peer_ratio,0.85,6,nearest,2952,4,318477.946472,295.281344,73.820336,16384,4096.000000,318625.587144,318773.227816,319068.509160
ambiguity,dominant_peer_ratio,0.85,6,naive_target_aware,2952,150,122931.815791,14712.095275,98.080635,614400,4096.000000,130287.863428,137643.911066,152356.006341
ambiguity,dominant_peer_ratio,0.85,6,engagement_g00_d0.0,2952,150,122931.815791,14712.095275,98.080635,614400,4096.000000,130287.863428,137643.911066,152356.006341
ambiguity,dominant_peer_ratio,0.85,6,engagement_g00_d0.25,2952,150,141981.476355,14712.095275,98.080635,614400,4096.000000,149337.523993,156693.571630,171405.666905
ambiguity,dominant_peer_ratio,0.85,6,engagement_g00_d0.5,2952,150,146209.439241,14712.095275,98.080635,614400,4096.000000,153565.486879,160921.534516,175633.629791
ambiguity,dominant_peer_ratio,0.85,6,engagement_g00_d1.0,2952,150,159427.950536,14712.095275,98.080635,614400,4096.000000,166783.998174,174140.045811,188852.141086
ambiguity,dominant_peer_ratio,0.85,6,engagement_g00_d2.0,2952,150,181849.382170,14712.095275,98.080635,614400,4096.000000,189205.429808,196561.477445,211273.572720
ambiguity,dominant_peer_ratio,0.85,6,engagement_g00_d5.0,2952,148,254941.328669,14613.216250,98.737948,606208,4096.000000,262247.936794,269554.544919,284167.761169
