dominant_peer_ratio,seed,policy_id,total_requests,self_service_count,self_service_rate,mean_rtt_remote_ms,mean_rtt_all_ms,measured_mean_latency_ms,predicted_mean_latency_ms,abs_error_ms,rel_error
0.85,7,engagement_g00_d1.0,2971,1429,0.480983,106.757283,55.408863,57.408863,57.408863,0.000000,0.000000
0.85,7,engagement_g00_d2.0,2971,1166,0.392460,107.069712,65.049085,67.049085,67.049085,0.000000,0.000000
0.85,7,engagement_g00_d5.0,2971,445,0.149781,108.781283,92.487890,94.487890,94.487890,0.000000,0.000000
0.85,7,engagement_g00_d10.0,2971,25,0.008415,117.463247,116.474832,118.474832,118.474832,0.000000,0.000000
0.85,7,engagement_g05_d0.0,2971,1787,0.601481,107.092617,42.678444,44.678444,44.678444,0.000000,0.000000
0.85,7,engagement_g05_d0.25,2971,1616,0.543925,106.580769,48.608867,50.608867,50.608867,0.000000,0.000000
0.85,7,engagement_g05_d0.5,2971,1560,0.525076,106.840301,50.741052,52.741052,52.741052,0.000000,0.000000
0.85,7,engagement_g05_d1.0,2971,1428,0.480646,106.710026,55.420253,57.420253,57.420253,0.000000,0.000000
0.85,7,engagement_g05_d2.0,2971,1166,0.392460,107.069712,65.049085,67.049085,67.049085,0.000000,0.000000
0.85,7,engagement_g05_d5.0,2971,446,0.150118,108.568563,92.270489,94.270489,94.270489,0.000000,0.000000
0.85,7,engagement_g05_d10.0,2971,25,0.008415,114.649472,113.684734,115.684734,115.684734,0.000000,0.000000
0.85,7,oracle_a1,2971,2432,0.818580,52.441202,9.513904,11.513904,11.513904,0.000000,0.000000
0.85,8,static,2983,166,0.055649,96.531351,91.159509,93.159509,93.159509,0.000000,0.000000
0.85,8,nearest,2983,144,0.048274,99.791226,94.973950,96.973950,96.973950,0.000000,0.000000
0.85,8,naive_target_aware,2983,1822,0.610795,94.696059,36.856227,38.856227,38.856227,0.000000,0.000000
0.85,8,engagement_g00_d0.0,2983,1822,0.610795,94.696059,36.856227,38.856227,38.856227,0.000000,0.000000
0.85,8,engagement_g00_d0.25,2983,1634,0.547771,94.845162,42.891761,44.891761,44.891761,0.000000,0.000000
0.85,8,engagement_g00_d0.5,2983,1573,0.527321,94.968012,44.889339,46.889339,46.889339,0.000000,0.000000
0.85,8,engagement_g00_d1.0,2983,1471,0.493128,95.258525,48.283905,50.283905,50.283905,0.000000,0.000000
0.85,8,engagement_g00_d2.0,2983,1227,0.411331,94.496866,55.627388,57.627388,57.627388,0.000000,0.000000
0.85,8,engagement_g00_d5.0,2983,483,0.161918,94.658011,79.331220,81.331220,81.331220,0.000000,0.000000
0.85,8,engagement_g00_d10.0,2983,37,0.012404,97.557935,96.347863,98.347863,98.347863,0.000000,0.000000
0.85,8,engagement_g05_d0.0,2983,1784,0.598056,94.980199,38.176754,40.176754,40.176754,0.000000,0.000000
0.85,8,engagement_g05_d0.25,2983,1631,0.546765,94.538134,42.847991,44.847991,44.847991,0.000000,0.000000
0.85,8,engagement_g05_d0.5,2983,1571,0.526651,94.962926,44.950604,46.950604,46.950604,0.000000,0.000000
0.85,8,engagement_g05_d1.0,2983,1470,0.492792,95.210882,48.291674,50.291674,50.291674,0.000000,0.000000
0.85,8,engagement_g05_d2.0,2983,1226,0.410996,94.456274,55.635157,57.635157,57.635157,0.000000,0.000000
0.85,8,engagement_g05_d5.0,2983,483,0.161918,94.737925,79.398194,81.398194,81.398194,0.000000,0.000000
0.85,8,engagement_g05_d10.0,2983,34,0.011398,98.918541,97.791075,99.791075,99.791075,0.000000,0.000000
0.85,8,oracle_a1,2983,2404,0.805900,40.314406,7.825022,9.825022,9.825022,0.000000,0.000000
0.85,9,static,2932,170,0.057981,98.339356,92.637551,94.637551,94.637551,0.000000,0.000000
0.85,9,nearest,2932,128,0.043656,110.701423,105.868619,107.868619,107.868619,0.000000,0.000000
0.85,9,naive_target_aware,2932,1764,0.601637,99.222775,39.526672,41.526672,41.526672,0.000000,0.000000
0.85,9,engagement_g00_d0.0,2932,1764,0.601637,99.222775,39.526672,41.526672,41.526672,0.000000,0.000000
0.85,9,engagement_g00_d0.25,2932,1579,0.538540,98.313365,45.367661,47.367661,47.367661,0.000000,0.000000
