dominant_peer_ratio,seed,total_requests,oracle_mean_latency_ms,online_mean_latency_ms,agree_oracle_demand_count,agree_oracle_demand_rate,agree_oracle_median_count,agree_oracle_median_rate,agree_demand_median_count,agree_demand_median_rate,oracle_self_service_count,oracle_self_service_rate,total_latency_advantage_ms,self_service_advantage_ms,remote_advantage_ms,self_service_advantage_fraction
0.6,2,3076,19.152858,62.663056,1441,0.468466,1729,0.562094,1721,0.559493,1617,0.525683,133837.369107,59638.425175,74198.943932,0.445604
0.6,3,2993,19.926354,62.165845,1433,0.478784,1574,0.525894,1638,0.547277,1629,0.544270,126422.796300,54323.931910,72098.864390,0.429700
0.6,4,2947,18.300004,62.870098,1292,0.438412,1419,0.481507,1500,0.508992,1533,0.520190,131348.066939,55174.483511,76173.583428,0.420063
0.6,5,2961,20.621858,65.208122,1382,0.466734,1540,0.520095,1597,0.539345,1570,0.530226,132019.927265,57816.647207,74203.280058,0.437939
0.6,6,2952,18.240397,60.222340,1365,0.462398,1490,0.504743,1521,0.515244,1541,0.522019,123930.696221,47302.739047,76627.957174,0.381687
0.6,7,2971,24.075323,66.014829,1404,0.472568,1626,0.547290,1700,0.572198,1602,0.539212,124602.272221,58073.807853,66528.464368,0.466073
0.6,8,2983,19.467287,58.634507,1403,0.470332,1555,0.521287,1524,0.510895,1590,0.533020,116835.818681,45876.085134,70959.733547,0.392654
0.6,9,2932,20.229657,61.398321,1422,0.484993,1496,0.510232,1546,0.527285,1583,0.539905,120706.524015,45799.111649,74907.412366,0.379425
0.6,10,3006,20.601343,60.139514,1453,0.483367,1638,0.544910,1637,0.544578,1674,0.556886,118851.741381,55738.040319,63113.701062,0.468971
0.6,11,3002,20.202286,63.210124,1383,0.460693,1711,0.569953,1694,0.564290,1556,0.518321,129109.531729,54237.608499,74871.923230,0.420090
0.6,12,3026,18.032703,58.929129,1348,0.445473,1445,0.477528,1516,0.500991,1563,0.516523,123752.587691,47300.440338,76452.147353,0.382218
0.6,13,3014,18.181707,59.239338,1390,0.461181,1540,0.510949,1640,0.544127,1671,0.554413,123747.699626,53633.197529,70114.502097,0.433408
0.6,14,3050,22.556518,63.822306,1410,0.462295,1637,0.536721,1787,0.585902,1597,0.523607,125860.651303,52011.974464,73848.676839,0.413250
0.6,15,3022,20.017677,63.105971,1416,0.468564,1479,0.489411,1425,0.471542,1662,0.549967,130212.824287,55643.986690,74568.837597,0.427331
0.6,16,3097,18.339875,57.275902,1495,0.482725,1665,0.537617,1712,0.552793,1708,0.551501,120584.874851,52578.523028,68006.351823,0.436029
0.6,17,2945,19.036703,61.518276,1382,0.469270,1533,0.520543,1405,0.477080,1591,0.540238,125108.230205,55045.065000,70063.165205,0.439980
0.6,18,3040,17.187844,62.486840,1367,0.449671,1479,0.486513,1627,0.535197,1579,0.519408,137708.947247,55404.006664,82304.940583,0.402327
0.6,19,2979,17.078113,64.658677,1364,0.457872,1473,0.494461,1501,0.503860,1587,0.532729,141742.500020,58811.557361,82930.942659,0.414918
0.6,20,3045,20.800403,61.973165,1526,0.501149,1711,0.561905,1631,0.535632,1667,0.547455,125371.059422,53839.671133,71531.388289,0.429443
0.6,21,3058,20.072867,64.434239,1524,0.498365,1661,0.543165,1526,0.499019,1704,0.557227,135657.077284,60434.121766,75222.955518,0.445492
0.6,22,3009,19.601926,63.600387,1307,0.434364,1459,0.484879,1447,0.480891,1521,0.505484,132391.367255,48522.241107,83869.126148,0.366506
0.6,23,3060,18.631118,60.314404,1462,0.477778,1509,0.493137,1361,0.444771,1676,0.547712,127550.856584,52115.981832,75434.874752,0.408590
0.6,24,2894,20.269751,62.407732,1449,0.500691,1538,0.531444,1525,0.526952,1640,0.566690,121947.315749,56561.831653,65385.484096,0.463822
0.6,25,2903,19.761212,60.756194,1453,0.500517,1542,0.531175,1564,0.538753,1595,0.549432,119008.434157,51645.572369,67362.861788,0.433966
0.6,26,3057,19.731692,63.646467,1404,0.459274,1544,0.505070,1611,0.526987,1589,0.519791,134247.466511,52536.126611,81711.339900,0.391338
0.6,27,2968,20.885729,64.279192,1415,0.476752,1588,0.535040,1634,0.550539,1586,0.534367,128791.800371,56878.614085,71913.186286,0.441632
0.6,28,3014,18.227160,62.426166,1366,0.453218,1528,0.506967,1476,0.489715,1565,0.519244,133215.804369,52190.805196,81024.999173,0.391776
0.6,29,3063,18.961362,58.846791,1416,0.462292,1527,0.498531,1615,0.527261,1543,0.503754,122169.070063,46524.251892,75644.818171,0.380819
0.6,30,2933,22.561672,66.565989,1427,0.486533,1606,0.547562,1660,0.565973,1615,0.550631,129064.663719,62785.979630,66278.684089,0.486469
0.5,1,3072,20.831069,63.955193,1097,0.357096,1146,0.373047,1120,0.364583,1355,0.441081,132477.309088,51346.123387,81131.185701,0.387584
0.5,2,3076,22.365212,71.316389,1131,0.367685,1234,0.401170,1346,0.437581,1325,0.430754,150573.819917,51437.688491,99136.131426,0.341611
0.5,3,2993,23.207613,70.809832,1135,0.379218,1269,0.423989,1325,0.442700,1325,0.442700,142473.440756,53317.741775,89155.698981,0.374229
0.5,4,2947,20.601896,69.526025,1038,0.352223,1133,0.384459,1328,0.450628,1263,0.428571,144179.407211,52538.600545,91640.806666,0.364397
0.5,5,2961,22.902751,72.377808,1082,0.365417,1186,0.400540,1192,0.402567,1310,0.442418,146495.644109,55877.038343,90618.605766,0.381425
0.5,6,2952,20.900020,68.778697,1141,0.386518,1358,0.460027,1265,0.428523,1243,0.421070,141337.852185,46117.779814,95220.072371,0.326295
0.5,7,2971,27.245172,73.789860,1171,0.394143,1294,0.435544,1314,0.442275,1389,0.467519,138284.268227,57404.259934,80880.008293,0.415118
0.5,8,2983,22.075017,66.434422,1113,0.373114,1239,0.415354,1119,0.375126,1275,0.427422,132324.104211,41271.052019,91053.052192,0.311894
0.5,9,2932,22.835561,68.451015,1126,0.384038,1171,0.399386,1249,0.425989,1325,0.451910,133744.511644,48103.069767,85641.441877,0.359664
0.5,10,3006,24.280715,68.522824,1252,0.416500,1347,0.448104,1139,0.378909,1394,0.463739,132991.779055,50453.800224,82537.978831,0.379375
0.5,11,3002,21.754507,71.637851,1093,0.364091,1314,0.437708,1283,0.427382,1313,0.437375,149749.798850,54316.385919,95433.412931,0.362714
0.5,12,3026,21.056252,68.774874,1008,0.333113,1162,0.384005,1062,0.350958,1202,0.397224,144396.550247,43693.070084,100703.480163,0.302591
0.5,13,3014,21.197538,67.796004,1157,0.383875,1126,0.373590,1201,0.398474,1387,0.460186,140447.774972,54323.363144,86124.411828,0.386787
0.5,14,3050,25.462298,74.788450,1134,0.371803,1221,0.400328,1414,0.463607,1318,0.432131,150444.762590,54522.524628,95922.237962,0.362409
0.5,15,3022,23.851664,72.691348,1138,0.376572,1127,0.372932,1042,0.344805,1388,0.459298,147593.524988,55076.520951,92517.004037,0.373164
