dominant_peer_ratio,policy_id,total_requests_mean,total_requests_std,self_service_count_mean,self_service_count_std,self_service_rate_mean,self_service_rate_std,mean_rtt_remote_ms_mean,mean_rtt_remote_ms_std,mean_rtt_all_ms_mean,mean_rtt_all_ms_std,measured_mean_latency_ms_mean,measured_mean_latency_ms_std,predicted_mean_latency_ms_mean,predicted_mean_latency_ms_std,abs_error_ms_mean,abs_error_ms_std,rel_error_mean,rel_error_std
0.6,engagement_g05_d0.25,3002.400000,53.895557,1048.500000,43.479484,0.349120,0.009847,105.449510,4.988412,68.628183,3.244343,70.628183,3.244343,70.628183,3.244343,0.000000,0.000000,0.000000,0.000000
0.6,engagement_g05_d0.5,3002.400000,53.895557,1022.400000,41.482526,0.340434,0.009373,105.518628,5.082843,69.591170,3.366156,71.591170,3.366156,71.591170,3.366156,0.000000,0.000000,0.000000,0.000000
0.6,engagement_g05_d1.0,3002.400000,53.895557,960.033333,38.623276,0.319677,0.008973,105.520175,5.081132,71.782931,3.461637,73.782931,3.461637,73.782931,3.461637,0.000000,0.000000,0.000000,0.000000
0.6,engagement_g05_d10.0,3002.400000,53.895557,82.766667,16.884360,0.027554,0.005540,103.249752,4.034926,100.402361,3.899662,102.402361,3.899662,102.402361,3.899662,0.000000,0.000000,0.000000,0.000000
0.6,engagement_g05_d2.0,3002.400000,53.895557,807.633333,33.969036,0.268943,0.008661,105.813548,5.245398,77.352546,3.867332,79.352546,3.867332,79.352546,3.867332,0.000000,0.000000,0.000000,0.000000
0.6,engagement_g05_d5.0,3002.400000,53.895557,334.366667,26.247474,0.111314,0.007757,106.007429,5.758866,94.211696,5.256275,96.211696,5.256275,96.211696,5.256275,0.000000,0.000000,0.000000,0.000000
0.6,naive_target_aware,3002.400000,53.895557,1287.400000,39.682012,0.428737,0.008215,104.970406,4.392205,59.961112,2.535960,61.961112,2.535960,61.961112,2.535960,0.000000,0.000000,0.000000,0.000000
0.6,nearest,3002.400000,53.895557,152.533333,18.481553,0.050784,0.005933,103.658242,7.621476,98.393783,7.267648,100.393783,7.267648,100.393783,7.267648,0.000000,0.000000,0.000000,0.000000
0.6,oracle_a1,3002.400000,53.895557,1606.133333,50.568310,0.535017,0.016211,37.997096,3.941003,17.633441,1.573115,19.633441,1.573115,19.633441,1.573115,0.000000,0.000000,0.000000,0.000000
0.6,static,3002.400000,53.895557,151.166667,19.488429,0.050321,0.006210,105.316813,6.725606,100.013676,6.355945,102.013676,6.355945,102.013676,6.355945,0.000000,0.000000,0.000000,0.000000
0.7,engagement_g00_d0.0,3002.400000,53.895557,1517.200000,44.933975,0.505251,0.007697,105.489323,5.383465,52.190873,2.767304,54.190873,2.767304,54.190873,2.767304,0.000000,0.000000,0.000000,0.000000
0.7,engagement_g00_d0.25,3002.400000,53.895557,1363.533333,43.920566,0.454064,0.008283,105.662624,5.760373,57.687208,3.282868,59.687208,3.282868,59.687208,3.282868,0.000000,0.000000,0.000000,0.000000
0.7,engagement_g00_d0.5,3002.400000,53.895557,1312.000000,42.981953,0.436903,0.008394,105.697265,5.842177,59.517580,3.386667,61.517580,3.386667,61.517580,3.386667,0.000000,0.000000,0.000000,0.000000
0.7,engagement_g00_d1.0,3002.400000,53.895557,1208.066667,40.387719,0.402299,0.008594,105.598266,5.900961,63.114817,3.604624,65.114817,3.604624,65.114817,3.604624,0.000000,0.000000,0.000000,0.000000
0.7,engagement_g00_d10.0,3002.400000,53.895557,52.533333,13.260606,0.017501,0.004400,103.588889,7.004915,101.777801,6.926325,103.777801,6.926325,103.777801,6.926325,0.000000,0.000000,0.000000,0.000000
0.7,engagement_g00_d2.0,3002.400000,53.895557,1000.266667,35.103722,0.333110,0.008333,105.773014,6.210510,70.531833,4.109857,72.531833,4.109857,72.531833,4.109857,0.000000,0.000000,0.000000,0.000000
0.7,engagement_g00_d5.0,3002.400000,53.895557,410.900000,27.175483,0.136787,0.007474,106.233605,7.099760,91.699085,6.146435,93.699085,6.146435,93.699085,6.146435,0.000000,0.000000,0.000000,0.000000
0.7,engagement_g05_d0.0,3002.400000,53.895557,1390.500000,51.250399,0.463016,0.010549,105.599172,5.782954,56.702815,3.234233,58.702815,3.234233,58.702815,3.234233,0.000000,0.000000,0.000000,0.000000
0.7,engagement_g05_d0.25,3002.400000,53.895557,1316.300000,47.707550,0.438306,0.009481,105.662823,5.911918,59.352399,3.484043,61.352399,3.484043,61.352399,3.484043,0.000000,0.000000,0.000000,0.000000
0.7,engagement_g05_d0.5,3002.400000,53.895557,1274.733333,45.981206,0.424471,0.009385,105.677786,5.986109,60.819904,3.553583,62.819904,3.553583,62.819904,3.553583,0.000000,0.000000,0.000000,0.000000
0.7,engagement_g05_d1.0,3002.400000,53.895557,1184.366667,42.211686,0.394393,0.009106,105.559629,6.039097,63.926385,3.740972,65.926385,3.740972,65.926385,3.740972,0.000000,0.000000,0.000000,0.000000
0.7,engagement_g05_d10.0,3002.400000,53.895557,55.633333,13.576052,0.018534,0.004489,103.643178,5.806327,101.725587,5.780424,103.725587,5.780424,103.725587,5.780424,0.000000,0.000000,0.000000,0.000000
0.7,engagement_g05_d2.0,3002.400000,53.895557,985.966667,36.536692,0.328342,0.008867,105.711295,6.368050,70.994133,4.243100,72.994133,4.243100,72.994133,4.243100,0.000000,0.000000,0.000000,0.000000
0.7,engagement_g05_d5.0,3002.400000,53.895557,402.966667,27.387996,0.134148,0.007650,106.181379,7.017915,91.932539,6.064598,93.932539,6.064598,93.932539,6.064598,0.000000,0.000000,0.000000,0.000000
