dominant_peer_ratio,policy_id,selector,theta_d,window_size,n_seeds,combined_s_alpha1_mean,combined_s_alpha1_std,mean_latency_ms_mean,migration_count_mean
0.4,rtt_weighted_w30_d0.25,rtt_weighted,0.25,30,30,251.821856,18.248837,78.955878,216.000000
0.4,rtt_weighted_w30_d0.5,rtt_weighted,0.5,30,30,252.011250,18.282656,79.490288,195.433333
0.4,rtt_weighted_w30_d1,rtt_weighted,1.0,30,30,253.828368,18.510305,80.658711,167.866667
0.4,rtt_weighted_w30_d2,rtt_weighted,2.0,30,30,258.186128,19.946591,82.808228,131.433333
0.4,rtt_weighted_w30_d5,rtt_weighted,5.0,30,30,268.408588,20.966943,87.351067,77.333333
0.4,rtt_weighted_w30_d10,rtt_weighted,10.0,30,30,266.061772,20.694364,87.769717,30.766667
0.4,rtt_weighted_w100_d0,rtt_weighted,0.0,100,30,252.978826,24.160317,80.022322,178.300000
0.4,rtt_weighted_w100_d0.25,rtt_weighted,0.25,100,30,249.884860,23.351228,80.888735,96.233333
0.4,rtt_weighted_w100_d0.5,rtt_weighted,0.5,100,30,250.284574,23.474910,81.196521,89.533333
0.4,rtt_weighted_w100_d1,rtt_weighted,1.0,100,30,251.325946,23.651776,81.811546,78.866667
0.4,rtt_weighted_w100_d2,rtt_weighted,2.0,100,30,253.851451,24.412468,82.952033,66.133333
0.4,rtt_weighted_w100_d5,rtt_weighted,5.0,100,30,258.979041,25.620773,85.104690,47.033333
0.4,rtt_weighted_w100_d10,rtt_weighted,10.0,100,30,261.926413,24.872765,86.413354,33.266667
0.3,static,,,,30,305.950699,19.570568,101.919641,0.000000
0.3,nearest,,,,30,303.247660,21.584807,100.561379,12.566667
0.3,demand_argmax_w5_d0,demand_argmax,0.0,5,30,373.373288,14.546667,90.697854,968.866667
0.3,demand_argmax_w5_d0.25,demand_argmax,0.25,5,30,325.267119,12.190523,91.069573,495.766667
0.3,demand_argmax_w5_d0.5,demand_argmax,0.5,5,30,317.581020,11.710878,91.247918,418.233333
0.3,demand_argmax_w5_d1,demand_argmax,1.0,5,30,307.553051,11.083205,92.115338,297.266667
0.3,demand_argmax_w5_d2,demand_argmax,2.0,5,30,301.708716,12.699009,95.051537,155.266667
0.3,demand_argmax_w5_d5,demand_argmax,5.0,5,30,306.037710,14.696281,100.929591,29.000000
0.3,demand_argmax_w5_d10,demand_argmax,10.0,5,30,305.386538,18.559935,101.671055,1.566667
0.3,demand_argmax_w10_d0,demand_argmax,0.0,10,30,323.507052,13.342457,88.285600,558.766667
0.3,demand_argmax_w10_d0.25,demand_argmax,0.25,10,30,303.049046,12.777195,89.608453,323.933333
0.3,demand_argmax_w10_d0.5,demand_argmax,0.5,10,30,301.267716,12.286203,90.219303,290.366667
0.3,demand_argmax_w10_d1,demand_argmax,1.0,10,30,300.224470,12.703714,91.478018,243.900000
0.3,demand_argmax_w10_d2,demand_argmax,2.0,10,30,302.518644,12.367258,94.447703,179.533333
0.3,demand_argmax_w10_d5,demand_argmax,5.0,10,30,311.269684,16.729371,100.510203,89.000000
0.3,demand_argmax_w10_d10,demand_argmax,10.0,10,30,306.567494,14.706415,101.616438,14.666667
0.3,demand_argmax_w20_d0,demand_argmax,0.0,20,30,305.532026,12.748188,91.184340,302.733333
0.3,demand_argmax_w20_d0.25,demand_argmax,0.25,20,30,301.670049,12.564043,93.018111,212.266667
0.3,demand_argmax_w20_d0.5,demand_argmax,0.5,20,30,302.440463,12.682207,93.710210,198.633333
0.3,demand_argmax_w20_d1,demand_argmax,1.0,20,30,304.365306,12.810586,94.961835,181.166667
0.3,demand_argmax_w20_d2,demand_argmax,2.0,20,30,308.653366,13.090428,97.187610,158.600000
