comparison_type,dominant_peer_ratio,policy_a,policy_b,n_seeds,mean_diff_combined_s,bootstrap_ci95_low,bootstrap_ci95_high,verdict
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w5_d5,nearest,30,-8.754916,-17.054434,-0.819195,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w5_d10,nearest,30,0.583401,-7.011404,8.773507,not_significant
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w10_d0,nearest,30,-90.055620,-97.716397,-82.714009,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w10_d0.25,nearest,30,-92.720361,-100.140297,-85.508620,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w10_d0.5,nearest,30,-88.952774,-96.624935,-81.517685,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w10_d1,nearest,30,-79.319957,-87.285170,-71.645446,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w10_d2,nearest,30,-55.737678,-64.115554,-47.751891,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w10_d5,nearest,30,-15.092002,-23.270571,-7.467993,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w10_d10,nearest,30,-13.285487,-21.354780,-5.219198,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w20_d0,nearest,30,-80.280195,-88.655721,-72.188184,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w20_d0.25,nearest,30,-77.566478,-85.960646,-69.352552,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w20_d0.5,nearest,30,-74.134066,-82.721113,-65.770227,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w20_d1,nearest,30,-66.725398,-75.475259,-58.269781,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w20_d2,nearest,30,-50.720166,-59.738973,-41.971063,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w20_d5,nearest,30,-24.210994,-33.617406,-15.700835,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w20_d10,nearest,30,-21.315063,-29.667796,-13.474340,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w30_d0,nearest,30,-70.136654,-78.949970,-61.682772,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w30_d0.25,nearest,30,-68.777047,-77.522950,-60.458716,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w30_d0.5,nearest,30,-65.877838,-74.649617,-57.553669,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w30_d1,nearest,30,-60.095068,-69.055509,-51.645063,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w30_d2,nearest,30,-49.322910,-58.654472,-40.566793,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w30_d5,nearest,30,-27.643724,-36.322858,-19.631092,a_cheaper
