phase_duration,seed,policy_id,total_requests,self_service_count,self_service_rate,mean_rtt_remote_ms,mean_rtt_all_ms,measured_mean_latency_ms,predicted_mean_latency_ms,abs_error_ms,rel_error
2.0,4,engagement_g05_d0.25,2947,122,0.041398,109.359110,104.831858,106.831858,106.831858,0.000000,0.000000
2.0,4,engagement_g05_d0.5,2947,84,0.028504,109.342360,106.225714,108.225714,108.225714,0.000000,0.000000
2.0,4,engagement_g05_d1.0,2947,37,0.012555,108.113872,106.756487,108.756487,108.756487,0.000000,0.000000
2.0,4,engagement_g05_d2.0,2947,26,0.008823,107.282987,106.336479,108.336479,108.336479,0.000000,0.000000
2.0,4,engagement_g05_d5.0,2947,158,0.053614,104.235544,98.647076,100.647076,100.647076,0.000000,0.000000
2.0,4,engagement_g05_d10.0,2947,147,0.049881,104.854325,99.624062,101.624062,101.624062,0.000000,0.000000
2.0,4,oracle_a1,2947,1895,0.643027,27.391295,9.777958,11.777958,11.777958,0.000000,0.000000
2.0,5,static,2961,148,0.049983,104.960220,99.713981,101.713981,101.713981,0.000000,0.000000
2.0,5,nearest,2961,160,0.054036,104.476871,98.831380,100.831380,100.831380,0.000000,0.000000
2.0,5,naive_target_aware,2961,301,0.101655,105.884875,95.121164,97.121164,97.121164,0.000000,0.000000
2.0,5,engagement_g00_d0.0,2961,301,0.101655,105.884875,95.121164,97.121164,97.121164,0.000000,0.000000
2.0,5,engagement_g00_d0.25,2961,130,0.043904,104.966473,100.358016,102.358016,102.358016,0.000000,0.000000
2.0,5,engagement_g00_d0.5,2961,87,0.029382,104.473835,101.404188,103.404188,103.404188,0.000000,0.000000
2.0,5,engagement_g00_d1.0,2961,40,0.013509,103.794243,102.392091,104.392091,104.392091,0.000000,0.000000
2.0,5,engagement_g00_d2.0,2961,31,0.010469,102.030287,100.962087,102.962087,102.962087,0.000000,0.000000
2.0,5,engagement_g00_d5.0,2961,102,0.034448,103.656669,100.085922,102.085922,102.085922,0.000000,0.000000
2.0,5,engagement_g00_d10.0,2961,148,0.049983,104.960220,99.713981,101.713981,101.713981,0.000000,0.000000
2.0,5,engagement_g05_d0.0,2961,188,0.063492,105.010728,98.343381,100.343381,100.343381,0.000000,0.000000
2.0,5,engagement_g05_d0.25,2961,123,0.041540,104.561125,100.217653,102.217653,102.217653,0.000000,0.000000
2.0,5,engagement_g05_d0.5,2961,87,0.029382,104.123954,101.064588,103.064588,103.064588,0.000000,0.000000
2.0,5,engagement_g05_d1.0,2961,50,0.016886,103.236348,101.493080,103.493080,103.493080,0.000000,0.000000
2.0,5,engagement_g05_d2.0,2961,43,0.014522,104.605882,103.086783,105.086783,105.086783,0.000000,0.000000
2.0,5,engagement_g05_d5.0,2961,160,0.054036,109.023962,103.132765,105.132765,105.132765,0.000000,0.000000
2.0,5,engagement_g05_d10.0,2961,148,0.049983,104.960220,99.713981,101.713981,101.713981,0.000000,0.000000
2.0,5,oracle_a1,2961,1924,0.649780,31.369408,10.986179,12.986179,12.986179,0.000000,0.000000
5.0,1,static,3072,148,0.048177,97.548618,92.849010,94.849010,94.849010,0.000000,0.000000
5.0,1,nearest,3072,132,0.042969,101.081440,96.738097,98.738097,98.738097,0.000000,0.000000
5.0,1,naive_target_aware,3072,1193,0.388346,90.328593,55.249813,57.249813,57.249813,0.000000,0.000000
5.0,1,engagement_g00_d0.0,3072,1193,0.388346,90.328593,55.249813,57.249813,57.249813,0.000000,0.000000
5.0,1,engagement_g00_d0.25,3072,853,0.277669,90.521935,65.386775,67.386775,67.386775,0.000000,0.000000
5.0,1,engagement_g00_d0.5,3072,749,0.243815,91.174237,68.944581,70.944581,70.944581,0.000000,0.000000
5.0,1,engagement_g00_d1.0,3072,550,0.179036,91.745345,75.319583,77.319583,77.319583,0.000000,0.000000
5.0,1,engagement_g00_d2.0,3072,249,0.081055,93.162939,85.611646,87.611646,87.611646,0.000000,0.000000
5.0,1,engagement_g00_d5.0,3072,31,0.010091,100.644868,99.629246,101.629246,101.629246,0.000000,0.000000
