phase_duration,policy_id,mean_latency_ms_mean,mean_latency_ms_std,p95_latency_ms_mean,p95_latency_ms_std,migration_count_mean,migration_count_std,max_requests_per_peer_mean,max_requests_per_peer_std,request_imbalance_mean,request_imbalance_std
40.0,oracle_a1,9.524886,0.672867,55.885028,3.053914,482.400000,30.802597,260.000000,45.585085,1.728597,0.311525
40.0,static,95.959815,7.981059,183.626255,15.118990,0.000000,0.000000,987.000000,341.757224,6.538219,2.203241
80.0,engagement_g00_d0.0,20.050495,1.733999,143.274351,14.069051,21.400000,1.341641,327.400000,14.064139,2.176393,0.107495
80.0,engagement_g00_d0.25,20.953659,1.720538,144.984790,13.967726,20.400000,0.547723,326.200000,13.292855,2.168524,0.105557
80.0,engagement_g00_d0.5,21.209164,1.796154,145.082956,13.985537,20.200000,0.447214,325.200000,13.953494,2.161835,0.108280
80.0,engagement_g00_d1.0,21.802492,1.977270,146.340351,12.567283,20.000000,0.000000,325.200000,13.311649,2.161923,0.106902
80.0,engagement_g00_d10.0,31.882871,3.213983,162.628025,16.591093,19.800000,0.447214,328.200000,10.134101,2.182250,0.099929
80.0,engagement_g00_d2.0,22.988331,2.171971,147.851157,13.659545,19.800000,0.447214,324.800000,11.454257,2.159391,0.100113
80.0,engagement_g00_d5.0,26.268749,2.360367,156.496161,13.372643,19.800000,0.447214,325.000000,8.602325,2.160860,0.090210
80.0,engagement_g05_d0.0,20.181850,1.839632,143.354538,14.178924,21.200000,1.303840,327.600000,14.673105,2.177689,0.110294
80.0,engagement_g05_d0.25,21.000600,1.766197,144.984790,13.967726,20.200000,0.447214,326.200000,13.292855,2.168524,0.105557
80.0,engagement_g05_d0.5,21.263940,1.886430,145.090867,13.995383,20.000000,0.000000,325.200000,13.953494,2.161835,0.108280
80.0,engagement_g05_d1.0,21.802492,1.977270,146.340351,12.567283,20.000000,0.000000,325.200000,13.311649,2.161923,0.106902
80.0,engagement_g05_d10.0,31.891929,3.213054,162.628025,16.591093,19.800000,0.447214,328.200000,10.134101,2.182250,0.099929
80.0,engagement_g05_d2.0,22.988331,2.171971,147.851157,13.659545,19.800000,0.447214,324.800000,11.454257,2.159391,0.100113
80.0,engagement_g05_d5.0,26.268749,2.360367,156.496161,13.372643,19.800000,0.447214,325.000000,8.602325,2.160860,0.090210
80.0,naive_target_aware,20.050495,1.733999,143.274351,14.069051,21.400000,1.341641,327.400000,14.064139,2.176393,0.107495
80.0,nearest,91.128132,11.664788,184.371298,6.767976,9.000000,8.972179,848.400000,312.610460,5.625803,2.027862
80.0,oracle_a1,9.507605,0.836393,57.586665,3.672016,472.600000,28.987929,296.600000,20.415680,1.969642,0.102904
80.0,static,96.214608,12.209387,182.963418,8.221137,0.000000,0.000000,987.000000,341.757224,6.538219,2.203241
