phase_duration,seed,policy_id,total_requests,mean_latency_ms,p95_latency_ms,migration_count,max_requests_per_peer,request_imbalance
10.0,2,engagement_g05_d0.25,3076,52.192358,195.394846,150,196,1.274382
10.0,2,engagement_g05_d0.5,3076,54.082765,195.394846,150,197,1.280884
10.0,2,engagement_g05_d1.0,3076,58.677296,195.394846,150,191,1.241873
10.0,2,engagement_g05_d2.0,3076,68.389769,198.371029,149,200,1.300390
10.0,2,engagement_g05_d5.0,3076,94.673076,198.371029,147,209,1.358908
10.0,2,engagement_g05_d10.0,3076,108.304731,191.478106,50,352,2.288687
10.0,2,oracle_a1,3076,9.541625,56.070585,620,233,1.514954
10.0,3,static,2993,94.786623,186.923839,0,620,4.143000
10.0,3,nearest,2993,91.008822,175.873447,5,1175,7.851654
10.0,3,naive_target_aware,2993,41.976926,169.465924,153,183,1.222853
10.0,3,engagement_g00_d0.0,2993,41.976926,169.465924,153,183,1.222853
10.0,3,engagement_g00_d0.25,2993,48.644618,169.465924,151,182,1.216171
10.0,3,engagement_g00_d0.5,2993,50.765148,169.465924,150,182,1.216171
10.0,3,engagement_g00_d1.0,2993,55.048309,175.033200,150,174,1.162713
10.0,3,engagement_g00_d2.0,2993,63.975625,185.560987,150,173,1.156031
10.0,3,engagement_g00_d5.0,2993,89.584532,186.106128,147,185,1.236218
10.0,3,engagement_g00_d10.0,2993,105.462208,188.906630,58,286,1.911126
10.0,3,engagement_g05_d0.0,2993,42.974380,169.465924,153,184,1.229536
10.0,3,engagement_g05_d0.25,2993,48.749092,169.465924,151,182,1.216171
10.0,3,engagement_g05_d0.5,2993,50.789221,169.465924,150,182,1.216171
10.0,3,engagement_g05_d1.0,2993,55.067494,175.033200,150,174,1.162713
10.0,3,engagement_g05_d2.0,2993,63.975625,185.560987,150,173,1.156031
10.0,3,engagement_g05_d5.0,2993,89.584532,186.106128,147,185,1.236218
10.0,3,engagement_g05_d10.0,2993,107.481895,188.906630,53,326,2.178416
10.0,3,oracle_a1,2993,9.570423,53.641915,570,189,1.262947
10.0,4,static,2947,102.474367,193.697416,0,606,4.112657
10.0,4,nearest,2947,98.946037,189.576396,4,606,4.112657
10.0,4,naive_target_aware,2947,45.256369,171.177543,154,219,1.486257
10.0,4,engagement_g00_d0.0,2947,45.256369,171.177543,154,219,1.486257
10.0,4,engagement_g00_d0.25,2947,52.733287,178.507730,150,218,1.479471
10.0,4,engagement_g00_d0.5,2947,54.739488,179.622313,150,221,1.499830
10.0,4,engagement_g00_d1.0,2947,58.483899,183.504948,150,218,1.479471
10.0,4,engagement_g00_d2.0,2947,67.159894,191.389529,150,226,1.533763
10.0,4,engagement_g00_d5.0,2947,93.692416,193.368367,149,214,1.452324
