phase_duration,policy_id,total_requests_mean,total_requests_std,self_service_count_mean,self_service_count_std,self_service_rate_mean,self_service_rate_std,mean_rtt_remote_ms_mean,mean_rtt_remote_ms_std,mean_rtt_all_ms_mean,mean_rtt_all_ms_std,measured_mean_latency_ms_mean,measured_mean_latency_ms_std,predicted_mean_latency_ms_mean,predicted_mean_latency_ms_std,abs_error_ms_mean,abs_error_ms_std,rel_error_mean,rel_error_std
5.0,oracle_a1,3009.800000,60.948339,2311.400000,80.596526,0.767823,0.014929,34.759191,2.282289,8.065571,0.684067,10.065571,0.684067,10.065571,0.684067,0.000000,0.000000,0.000000,0.000000
5.0,static,3009.800000,60.948339,142.800000,10.802777,0.047442,0.003436,102.540321,3.461668,97.679474,3.458060,99.679474,3.458060,99.679474,3.458060,0.000000,0.000000,0.000000,0.000000
10.0,engagement_g00_d0.0,3009.800000,60.948339,1842.400000,65.671912,0.611988,0.009986,106.056250,8.591546,41.181556,3.899503,43.181556,3.899503,43.181556,3.899503,0.000000,0.000000,0.000000,0.000000
10.0,engagement_g00_d0.25,3009.800000,60.948339,1647.200000,55.391335,0.547172,0.008378,105.968139,9.080071,48.033588,4.805248,50.033588,4.805248,50.033588,4.805248,0.000000,0.000000,0.000000,0.000000
10.0,engagement_g00_d0.5,3009.800000,60.948339,1581.400000,54.104528,0.525318,0.008981,105.807696,8.953507,50.257791,4.794857,52.257791,4.794857,52.257791,4.794857,0.000000,0.000000,0.000000,0.000000
10.0,engagement_g00_d1.0,3009.800000,60.948339,1460.600000,43.304734,0.485247,0.008401,105.768708,9.325618,54.453642,5.031714,56.453642,5.031714,56.453642,5.031714,0.000000,0.000000,0.000000,0.000000
10.0,engagement_g00_d10.0,3009.800000,60.948339,24.400000,8.414274,0.008105,0.002828,106.835114,5.974499,105.971187,5.985123,107.971187,5.985123,107.971187,5.985123,0.000000,0.000000,0.000000,0.000000
10.0,engagement_g00_d2.0,3009.800000,60.948339,1212.200000,34.679965,0.402762,0.008956,105.874767,9.462764,63.228867,5.721511,65.228867,5.721511,65.228867,5.721511,0.000000,0.000000,0.000000,0.000000
10.0,engagement_g00_d5.0,3009.800000,60.948339,472.600000,35.948574,0.156939,0.010019,105.091859,10.141024,88.589815,8.515764,90.589815,8.515764,90.589815,8.515764,0.000000,0.000000,0.000000,0.000000
10.0,engagement_g05_d0.0,3009.800000,60.948339,1814.800000,69.887052,0.602796,0.011703,105.882054,8.904998,42.085523,4.120585,44.085523,4.120585,44.085523,4.120585,0.000000,0.000000,0.000000,0.000000
10.0,engagement_g05_d0.25,3009.800000,60.948339,1643.400000,55.029992,0.545911,0.008260,105.934058,9.370389,48.149610,4.906500,50.149610,4.906500,50.149610,4.906500,0.000000,0.000000,0.000000,0.000000
10.0,engagement_g05_d0.5,3009.800000,60.948339,1578.600000,54.353473,0.524388,0.009199,105.756568,9.313648,50.331742,4.963942,52.331742,4.963942,52.331742,4.963942,0.000000,0.000000,0.000000,0.000000
10.0,engagement_g05_d1.0,3009.800000,60.948339,1458.600000,43.866844,0.484582,0.008668,105.658588,9.539578,54.466415,5.139819,56.466415,5.139819,56.466415,5.139819,0.000000,0.000000,0.000000,0.000000
10.0,engagement_g05_d10.0,3009.800000,60.948339,24.000000,9.695360,0.007986,0.003297,106.265461,5.343374,105.412553,5.216195,107.412553,5.216195,107.412553,5.216195,0.000000,0.000000,0.000000,0.000000
10.0,engagement_g05_d2.0,3009.800000,60.948339,1212.000000,34.583233,0.402697,0.008991,105.775244,9.674568,63.174876,5.831168,65.174876,5.831168,65.174876,5.831168,0.000000,0.000000,0.000000,0.000000
10.0,engagement_g05_d5.0,3009.800000,60.948339,472.200000,36.656514,0.156804,0.010263,104.870462,10.174018,88.419722,8.581711,90.419722,8.581711,90.419722,8.581711,0.000000,0.000000,0.000000,0.000000
10.0,naive_target_aware,3009.800000,60.948339,1842.400000,65.671912,0.611988,0.009986,106.056250,8.591546,41.181556,3.899503,43.181556,3.899503,43.181556,3.899503,0.000000,0.000000,0.000000,0.000000
10.0,nearest,3009.800000,60.948339,158.800000,11.454257,0.052803,0.004344,97.806292,5.731163,92.628603,5.162581,94.628603,5.162581,94.628603,5.162581,0.000000,0.000000,0.000000,0.000000
10.0,oracle_a1,3009.800000,60.948339,2404.200000,79.597111,0.798694,0.015883,39.029869,2.974794,7.853679,0.860522,9.853679,0.860522,9.853679,0.860522,0.000000,0.000000,0.000000,0.000000
10.0,static,3009.800000,60.948339,161.200000,10.401923,0.053589,0.003885,100.911810,4.607162,95.494506,4.105796,97.494506,4.105796,97.494506,4.105796,0.000000,0.000000,0.000000,0.000000
20.0,engagement_g00_d0.0,3009.800000,60.948339,2212.000000,66.610810,0.734825,0.008327,104.257126,7.720314,27.659360,2.409533,29.659360,2.409533,29.659360,2.409533,0.000000,0.000000,0.000000,0.000000
20.0,engagement_g00_d0.25,3009.800000,60.948339,2113.200000,59.238501,0.702027,0.006729,104.147402,8.402400,31.045490,2.775649,33.045490,2.775649,33.045490,2.775649,0.000000,0.000000,0.000000,0.000000
20.0,engagement_g00_d0.5,3009.800000,60.948339,2084.400000,61.198856,0.692446,0.007669,104.255385,8.437980,32.077938,2.915779,34.077938,2.915779,34.077938,2.915779,0.000000,0.000000,0.000000,0.000000
20.0,engagement_g00_d1.0,3009.800000,60.948339,2026.600000,51.159554,0.673300,0.006870,104.301106,8.684117,34.073679,2.931326,36.073679,2.931326,36.073679,2.931326,0.000000,0.000000,0.000000,0.000000
20.0,engagement_g00_d10.0,3009.800000,60.948339,894.200000,52.418508,0.296929,0.011843,105.147414,9.913884,73.952955,7.388045,75.952955,7.388045,75.952955,7.388045,0.000000,0.000000,0.000000,0.000000
20.0,engagement_g00_d2.0,3009.800000,60.948339,1905.800000,48.261786,0.633189,0.008941,104.717795,8.756120,38.410753,3.350866,40.410753,3.350866,40.410753,3.350866,0.000000,0.000000,0.000000,0.000000
20.0,engagement_g00_d5.0,3009.800000,60.948339,1523.800000,61.095826,0.506165,0.012677,104.557152,9.499515,51.630853,4.855954,53.630853,4.855954,53.630853,4.855954,0.000000,0.000000,0.000000,0.000000
20.0,engagement_g05_d0.0,3009.800000,60.948339,2195.800000,68.371778,0.729435,0.009294,103.985722,7.979028,28.147663,2.545537,30.147663,2.545537,30.147663,2.545537,0.000000,0.000000,0.000000,0.000000
20.0,engagement_g05_d0.25,3009.800000,60.948339,2111.200000,59.259598,0.701363,0.006919,104.212546,8.477691,31.132892,2.793095,33.132892,2.793095,33.132892,2.793095,0.000000,0.000000,0.000000,0.000000
20.0,engagement_g05_d0.5,3009.800000,60.948339,2083.000000,61.379964,0.691982,0.007906,104.386683,8.575658,32.167506,2.977287,34.167506,2.977287,34.167506,2.977287,0.000000,0.000000,0.000000,0.000000
